file_project,total_downloads
azure-mgmt-consumption,1957507
azure-mgmt-recoveryservicesbackup,1957481
azure-mgmt-advisor,1956777
azure-mgmt-billing,1954215
gcloud,1954018
django-model-utils,1952341
requestsexceptions,1947703
mysql-connector,1943860
azure-mgmt-servicebus,1942329
imageio,1933211
click-plugins,1926105
sympy,1922421
python-nmap,1919995
pattern,1919244
cairocffi,1912289
opentracing,1908018
pysqlite,1902533
databricks-cli,1897271
azure-mgmt-media,1897248
protobuf3-to-dict,1893539
os-client-config,1893243
testfixtures,1886241
pefile,1885991
flask-admin,1882226
django-rest-swagger,1871198
pytest-instafail,1870388
azure-cli-appservice,1850203
azure-cli-role,1843570
expiringdict,1837682
python-http-client,1829512
simpleflock,1829502
bandit,1827969
azure-cli-keyvault,1827051
azure-cli-container,1825867
cairosvg,1823608
multiprocess,1815596
azure-cli-monitor,1814735
azure-mgmt-scheduler,1809430
azure-cli-extension,1804349
azure-cli-rdbms,1803989
azure-mgmt-logic,1803414
hashids,1799622
azure-cli-dls,1795341
azure-mgmt-search,1792817
azure-cli-dla,1791549
qrcode,1787783
azure-cli-lab,1785401
python-swiftclient,1783539
azure-cli-batchai,1782245
translationstring,1780830
osc-lib,1779616
torchvision,1776296
statistics,1774881
mozlog,1773670
azure-cli-servicefabric,1772777
azure-cli-cosmosdb,1772606
azure-cli-cognitiveservices,1772251
progressbar2,1769257
inflect,1767883
azure-cli-cdn,1766791
uuid,1762854
pyvirtualdisplay,1755651
python-utils,1754438
azure-cli-reservations,1752131
oslo-log,1752004
geojson,1747615
jsonpath-rw,1728481
jsonfield,1727105
ec2-metadata,1708359
structlog,1697869
nodeenv,1694991
glob2,1694552
tensorflow-transform,1692903
azure-mgmt-managementgroups,1691607
blessed,1680227
cerberus,1678228
cement,1672241
importlib,1669005
lightgbm,1667694
collections-extended,1664164
azure-mgmt-datamigration,1656695
azure-mgmt-relay,1650258
watchtower,1646994
python-glanceclient,1645418
confluent-kafka,1632928
djangorestframework-jwt,1620209
python-logstash,1617715
flake8-import-order,1617257
typing-extensions,1602917
oslo-context,1602531
google-cloud-dataflow,1597031
